g_ewaran,p_ewaran,g_parallel,p_parallel,g_zankoline,p_zankoline,department,collage-institute,university
,,63.913,60.2,66,61.541,ژمێریاری دارایی و وردبینی,کۆلێژی بازرگانی,زانکۆی سلێمانی
56.85,54.903,60,60,65.3,65.3,مێژوو,ک.زانستە مرۆییەکان - سەید سادق,زانکۆی سلێمانی
57.7,54,60.093,60.093,64.775,64.775,جوگرافیا,ک.زانستە مرۆییەکان - سەید سادق,زانکۆی سلێمانی
,,56.128,61,55.053,61,بایۆتەکنەلۆجی و زانستی بەروبومی کێڵگەیی,ک.زانستە ئەندازیاریە کشتوکاڵیەکان,زانکۆی سلێمانی
,,57.8,63.205,54.759,60.67,زانستی ئاژەڵ,ک.زانستە ئەندازیاریە کشتوکاڵیەکان,زانکۆی سلێمانی
,,61.186,56.465,70.999,59.174,زانستی خۆراک,ک.زانستە ئەندازیاریە کشتوکاڵیەکان,زانکۆی سلێمانی
,,55.2,55.2,58.8,58.8,کارگێری کار و کشتووکاڵ و گەشەپێدان,ک.زانستە ئەندازیاریە کشتوکاڵیەکان,زانکۆی سلێمانی
,,57.03,54.007,65.3,58.744,سامانە سرووشتیەکان,ک.زانستە ئەندازیاریە کشتوکاڵیەکان,زانکۆی سلێمانی
,,57.366,60.23,54.053,60.23,باخداری,ک.زانستە ئەندازیاریە کشتوکاڵیەکان,زانکۆی سلێمانی
,,92,90.296,94.187,92.667,پەرستاری,ک.پەرستاری,زانکۆی ڕاپەڕین
,,,,,,پرۆگرامسازی,ک.ئەندازیاری,
,,94.2,85.3,90.2,80.707,شارستانی,ک.ئەندازیاری,زانکۆی ڕاپەڕین
,,83.833,78.22,89.04,84.6,بایۆلۆجی,ک.زانست,زانکۆی ڕاپەڕین
,,80.46,60.1,85.58,65.4,کیمیا,ک.زانست,زانکۆی ڕاپەڕین
,,68.167,62.2,68.7,63.6,فیزیای گشتی و کردەیی,ک.زانست,زانکۆی ڕاپەڕین
,,90,87,92.8,90,زانستی تاقیگەی پزیشکی,ک.زانست,زانکۆی ڕاپەڕین
,,80.1,73.9,84.9,78.814,یاسا,ک.زانستە مرۆڤایەتیەکان,زانکۆی ڕاپەڕین
60.8,59.257,64.7,60.2,70,65.079,کارگێری کار,ک.زانستە مرۆڤایەتیەکان,زانکۆی ڕاپەڕین
62.1,57,61.741,60.7,64.4,64.4,جوگرافیا,ک.زانستە مرۆڤایەتیەکان,زانکۆی ڕاپەڕین
59,53.814,62.3,61.2,67.6,67.6,مێژوو,ک.زانستە مرۆڤایەتیەکان,زانکۆی ڕاپەڕین
,,60,60,71,71,فەلسەفە,ک.زانستە مرۆڤایەتیەکان,زانکۆی ڕاپەڕین
60.6,60.6,62.6,58.3,65.8,64.1,کوردی,ک.پەرروەردە-قەڵادزێ,زانکۆی ڕاپەڕین
,,60,58.8,63.318,62.6,پەروەردە و دەروونزانی,ک.پەرروەردە-قەڵادزێ,زانکۆی ڕاپەڕین
57.75,57.75,59.947,59.947,72.4,64.2,عەرەبی,ک.پەرروەردە-قەڵادزێ,زانکۆی ڕاپەڕین
67.5,58.1,57.4,67.4,81.5,73.7,ئینگلیزی,ک.پەرروەردە-قەڵادزێ,زانکۆی ڕاپەڕین
,,62.9,60.7,68.5,64.389,بیرکاری,کۆلێژی پەروەردەی بنەڕەت,زانکۆی ڕاپەڕین
60.6,60.317,62.7,59.3,70.623,61.588,زمانی عەرەبی,کۆلێژی پەروەردەی بنەڕەت,زانکۆی ڕاپەڕین
59.055,59.055,64.4,58.1,69.2,62.5,زمانی کوردی,کۆلێژی پەروەردەی بنەڕەت,زانکۆی ڕاپەڕین
,,77.352,61.1,70.3,62.2,کۆمپیوتەر,کۆلێژی پەروەردەی بنەڕەت,زانکۆی ڕاپەڕین
67.2,58.051,73.3,66.2,89,71.6,زمانی ئینگلیزی,کۆلێژی پەروەردەی بنەڕەت,زانکۆی ڕاپەڕین
,,65.057,58.515,70.4,64.2,باخچەی ساوایان,کۆلێژی پەروەردەی بنەڕەت,زانکۆی ڕاپەڕین
,,58.667,54.141,61.4,59.2,باخداری,ک.زانستە ئەندازیاریە کشتوکاڵیەکان,زانکۆی ڕاپەڕین
,,97.333,96.937,98,97.667,پزیشکی گشتی,ک.پزیشک,زانکۆی گەرمیان
,,86.96,81.967,87.6,79,شارستانی,کۆلێژی ئەندازیاری,زانکۆی گەرمیان
,,57.851,57.851,78.5,63.137,کۆمپیوتەر,کۆلێژی زانست,زانکۆی گەرمیان
,,82.133,59.561,84.001,62.7,کیمیا,کۆلێژی زانست,زانکۆی گەرمیان
,,65.4,58.918,71.6,62.662,بایۆلۆجی,کۆلێژی پەروەردە,زانکۆی گەرمیان
,,64.677,59.171,70.3,65.171,کیمیا,کۆلێژی پەروەردە,زانکۆی گەرمیان
,,63.176,59.9,66.7,66.7,ماتماتیک,کۆلێژی پەروەردە,زانکۆی گەرمیان
,,62.9,59.317,69.1,65.905,فیزیک,کۆلێژی پەروەردە,زانکۆی گەرمیان
,,62.9,59.317,66.4,66.4,جوگرافیا,کۆلێژی پەروەردە,زانکۆی گەرمیان
,,60.2,60.2,68.3,68.3,مێژوو,کۆلێژی پەروەردە,زانکۆی گەرمیان
,,60.4,59.464,65.6,62.8,دەرونناس,کۆلێژی پەروەردە,زانکۆی گەرمیان
,,64.384,59.7,67.2,61.528,کوردی,کۆلێژی پەروەردە,زانکۆی گەرمیان
,,67.6,60.2,72.4,63.3,عەرەبی,کۆلێژی پەروەردە,زانکۆی گەرمیان
