g_ewaran,g_parallel,g_zankoline,p_ewaran,p_parallel,p_zankoline,department,collage-institute,university
,84.9,93.1,,78.7,84.142,زمانی ئینگلیزی,پەروەردە,سەڵاحەدین
,80,85.2,,74.8,81.2,بایۆلۆجی,پەروەردە,سەڵاحەدین
,75.1,81.5,,71.8,76.9,کیمیا,پەروەردە,سەڵاحەدین
,72.8,81.7,,68.2,74.3,زمانی عەرەبی,پەروەردە,سەڵاحەدین
,73.5,77.5,,68,73.3,فیزیک,پەروەردە,سەڵاحەدین
,69.5,79,,66.1,71.6,زمانی کوردی,پەروەردە,سەڵاحەدین
,70.086,75.8,,65.3,69.922,ماتماتیک,پەروەردە,سەڵاحەدین
,65.032,67.385,,65.032,67.385,زمانی سریانی,پەروەردە,سەڵاحەدین
,66.262,72.2,,61.804,64.4,رێنمایی پەروەردەیی و دەرونی,پەروەردە,سەڵاحەدین
,64.4,68.8,,60.559,62.4,پەروەردەی تایبەت,پەروەردە,سەڵاحەدین
,77.7,84.7,,76.106,80.8,زمانی ئینگلیزی,پەروەردە - شەقلاوە,سەڵاحەدین
,75.8,82.2,,71,76.844,بایۆلۆجی,پەروەردە - شەقلاوە,سەڵاحەدین
,69.941,75.6,,66.154,69.7,فیزیک,پەروەردە - شەقلاوە,سەڵاحەدین
63.75,67.122,75.4,57,64,69.1,زمانی عەرەبی,پەروەردە - شەقلاوە,سەڵاحەدین
62.353,64.8,71.6,57.7,62.559,66.4,زمانی کوردی,پەروەردە - شەقلاوە,سەڵاحەدین
,55,60,,55,60,وەرزش,پەروەردە - شەقلاوە,سەڵاحەدین
,65.4,71.5,,63.3,65.1,زمانی عەرەبی,پەروەردە - مەخمور,سەڵاحەدین
,64.493,69,,61.8,61.4,زمانی کوردی,پەروەردە - مەخمور,سەڵاحەدین
,55,60,,55,60,پەروەردەی جەستەیی و وەرزشیەکان,پەروەردەی جەستەیی و وەرزشیەکان,سەڵاحەدین
,95.6,96.8,,93.714,95,شیکاری نەخۆشی,تەکنیکی تەندروستی و پزیشکی,پۆلیتەکنیکی هەولێر
,90.8,93.667,,89.333,91.143,چارەسەری سروشتی,تەکنیکی تەندروستی و پزیشکی,پۆلیتەکنیکی هەولێر
,91.533,95.2,,89.28,91.2,ت. ئەندازیاری سیستەمی زانیاری IS,تەکنیکی ئەندازیاری هەولێر,پۆلیتەکنیکی هەولێر
,92.067,93.333,,88.76,90.2,تەکنیکی ئەندازیاری شارستانی,تەکنیکی ئەندازیاری هەولێر,پۆلیتەکنیکی هەولێر
,83.6,88.133,,79.492,83.703,تەکنیکی ئەندازیاری ڕێگا و بان,تەکنیکی ئەندازیاری هەولێر,پۆلیتەکنیکی هەولێر
,88.16,86.633,,78.546,82.6,تەکنیکی ئەندازیاری میکانیک وزە,تەکنیکی ئەندازیاری هەولێر,پۆلیتەکنیکی هەولێر
,75.6,85.1,,71,74.9,تەکنەلۆجیای زانیاری وگەیاندن ICT,تەکنەلۆجی هەولێر,پۆلیتەکنیکی هەولێر
,67.6,77.8,,62.6,63.7,تەکنەلۆجیای پترۆل,تەکنەلۆجی هەولێر,پۆلیتەکنیکی هەولێر
,67.4,78.2,,58.877,62.2,تەکنەلۆجیای کەرەستە و بیناکاری,تەکنەلۆجی هەولێر,پۆلیتەکنیکی هەولێر
,64.9,78.1,,60.2,62.155,ڕێگاوبان و ڕوپێوان/رووپێوان,تەکنەلۆجی هەولێر,پۆلیتەکنیکی هەولێر
,69.1,70,,58.603,60.267,ڕێگاوبان و ڕوپێوان/ڕێگاوبان,تەکنەلۆجی هەولێر,پۆلیتەکنیکی هەولێر
,58.7,64.2,,57.657,58.6,میکانیک و کانزاکان/کانزاکان و لکاندن,تەکنەلۆجی هەولێر,پۆلیتەکنیکی هەولێر
,64.6,74.4,,57.8,58.035,تەکنەلۆجیای ئۆتۆمبێل,تەکنەلۆجی هەولێر,پۆلیتەکنیکی هەولێر
,61.607,72.3,,58.4,58,میکانیک و کانزاکان/میکانیک و وزە,تەکنەلۆجی هەولێر,پۆلیتەکنیکی هەولێر
,59.026,73.9,,57.937,57.875,تەکنەلۆجیای ئۆتۆماتیکی پیشەسازی,تەکنەلۆجی هەولێر,پۆلیتەکنیکی هەولێر
80.286,87.429,94.571,75.429,83.143,86.571,شیکاری نەخۆشی,تەکنیکی شەقلاوە,پۆلیتەکنیکی هەولێر
79.143,85.143,89.143,76.286,79.453,83.143,پەرستاری,تەکنیکی شەقلاوە,پۆلیتەکنیکی هەولێر
71.143,79.014,86.286,61.429,64.571,68.644,ڤێتێرنەری,تەکنیکی شەقلاوە,پۆلیتەکنیکی هەولێر
63.2,66.2,74.7,60.374,63.7,67.7,تەکنەلۆجیای زانیاری IT,تەکنیکی شەقلاوە,پۆلیتەکنیکی هەولێر
60.3,63.9,73.7,58.2,59.84,64,کارگێری کار,تەکنیکی شەقلاوە,پۆلیتەکنیکی هەولێر
59.2,65.4,76.038,57.096,58.6,60.6,تەکنیکی تەلارسازی,تەکنیکی شەقلاوە,پۆلیتەکنیکی هەولێر
59.053,63.6,67.8,56.872,58.7,59.175,بیناکاری,تەکنیکی شەقلاوە,پۆلیتەکنیکی هەولێر
57.554,59.205,62.9,56.065,57.596,58.2,سیستەمی زانیاری کارگێری,تەکنیکی شەقلاوە,پۆلیتەکنیکی هەولێر
57.4,58.8,60.819,55.529,57,57.4,کارگێری دەزگاکانی گەشتیاری,تەکنیکی شەقلاوە,پۆلیتەکنیکی هەولێر
65.6,68.7,75.3,60.4,66,71.6,تەکنیکی کارگێری کار,تەکنیکی کارگێری هەولێر,پۆلیتەکنیکی هەولێر
,66,74.1,,63.2,68,تەکنیکی ژمێریاری,تەکنیکی کارگێری هەولێر,پۆلیتەکنیکی هەولێر
62.2,73.61,77.4,57.4,62.71,67.6,بازارگەری نێودەوڵەتی و زمان,تەکنیکی کارگێری هەولێر,پۆلیتەکنیکی هەولێر
59.4,66.8,69.8,57.6,60.857,61.8,تەکنیکی میدیا,تەکنیکی کارگێری هەولێر,پۆلیتەکنیکی هەولێر
,90.286,96.571,,87.68,90.571,دەرمانسازی,پەیمانگای تەکنیکی پزیشکی هەولێر,پۆلیتەکنیکی هەولێر
82.857,87.143,92.857,79.143,82.913,86.857,پەرستاری,پەیمانگای تەکنیکی پزیشکی هەولێر,پۆلیتەکنیکی هەولێر
82.571,86,90.286,77.714,81.973,84.286,شیکاری نەخۆشی,پەیمانگای تەکنیکی پزیشکی هەولێر,پۆلیتەکنیکی هەولێر
,90.571,93.714,,83.143,84,سڕکردن,پەیمانگای تەکنیکی پزیشکی هەولێر,پۆلیتەکنیکی هەولێر
,83.143,90,,78.857,82.906,یاریدەدەری پزیشکی ددان,پەیمانگای تەکنیکی پزیشکی هەولێر,پۆلیتەکنیکی هەولێر
,82.857,86.286,,77.143,79.467,پشکنینی چاو,پەیمانگای تەکنیکی پزیشکی هەولێر,پۆلیتەکنیکی هەولێر
,80.286,87.459,,75.95,79.182,تیشک,پەیمانگای تەکنیکی پزیشکی هەولێر,پۆلیتەکنیکی هەولێر
,76.846,84.146,,74.369,76.286,ئافرەتان و لەدایک بوون,پەیمانگای تەکنیکی پزیشکی هەولێر,پۆلیتەکنیکی هەولێر
62.6,67.4,74.524,59.4,62.2,65,تەکنیکی وەرگێران,پەیمانگای تەکنیکی کارگێری هەولێر,پۆلیتەکنیکی هەولێر
63.2,64.4,73.9,59.2,61.327,65,کارگێری کار,پەیمانگای تەکنیکی کارگێری هەولێر,پۆلیتەکنیکی هەولێر
,63.641,81.5,,61.2,64.5,کارگێری یاسا,پەیمانگای تەکنیکی کارگێری هەولێر,پۆلیتەکنیکی هەولێر
60.289,63.4,73.158,58.2,60.403,63.4,ژمێریاری,پەیمانگای تەکنیکی کارگێری هەولێر,پۆلیتەکنیکی هەولێر
60,62.4,73.2,58.2,59.6,62.248,ڕاگەیاندن,پەیمانگای تەکنیکی کارگێری هەولێر,پۆلیتەکنیکی هەولێر
58.9,61.3,69.6,57.8,59.4,62.2,کارگێری بازارگەری,پەیمانگای تەکنیکی کارگێری هەولێر,پۆلیتەکنیکی هەولێر
58.759,61.4,72.3,57.4,59.411,59.2,سیستەمی زانیاری کارگێری,پەیمانگای تەکنیکی کارگێری هەولێر,پۆلیتەکنیکی هەولێر
57.66,59.374,65.4,56.439,57.902,59.6,زانیاریەکان و کتێبخانە,پەیمانگای تەکنیکی کارگێری هەولێر,پۆلیتەکنیکی هەولێر
57.4,58.8,66.269,56.117,57.613,59.2,کارگێری دەزگاکانی گەشتیاری,پەیمانگای تەکنیکی کارگێری هەولێر,پۆلیتەکنیکی هەولێر
,61.239,79.868,,58,58.5,تەکنەلۆجیای زانیاری IT,پەیمانگای تەکنیکی چۆمان,پۆلیتەکنیکی هەولێر
,59.4,62.163,,57.525,58.2,کارگێری کار,پەیمانگای تەکنیکی چۆمان,پۆلیتەکنیکی هەولێر
,59.4,71.9,,57.4,57.4,کارگێری گومرگ,پەیمانگای تەکنیکی چۆمان,پۆلیتەکنیکی هەولێر
78.571,80,85.892,72.286,75.714,80,پەرستاری,پەیمانگای تەکنیکی سۆران,پۆلیتەکنیکی هەولێر
77.429,80.286,85.429,71.143,74.571,77.143,شیکاری نەخۆشی,پەیمانگای تەکنیکی سۆران,پۆلیتەکنیکی هەولێر
75.13,76,76.286,66.286,68.125,69.794,ئافرەتان و لەدایک بوون,پەیمانگای تەکنیکی سۆران,پۆلیتەکنیکی هەولێر
63.1,66.6,72.8,58.314,61.1,63.6,تەکنەلۆجیای زانیاری IT,پەیمانگای تەکنیکی سۆران,پۆلیتەکنیکی هەولێر
58.9,62.5,69.5,57.01,59.039,62.2,کارگێری کار,پەیمانگای تەکنیکی سۆران,پۆلیتەکنیکی هەولێر
58.818,60.1,72.854,56.4,57.868,61.017,ژمێریاری,پەیمانگای تەکنیکی سۆران,پۆلیتەکنیکی هەولێر
