g_ewaran,g_parallel,g_zankoline,p_ewaran,p_parallel,p_zankoline,department,collage-institute,university
,68.7,69.6,,57.3,62.3,زانستی خۆراک و کۆنتڕۆڵی جۆری,زانستە ئەندازیاریە کشتوکاڵییەکان,سلێمانی
,60.3,63.3,,56.7,59.889,سامانە سروشتیەکان,زانستە ئەندازیاریە کشتوکاڵییەکان,سلێمانی
,59.2,62.2,,55.256,59.7,کارگێری کاری کشتوکالی و گەشەپێدان,زانستە ئەندازیاریە کشتوکاڵییەکان,سلێمانی
,59.24,66,,53.626,59.447,زانستی ئاژەل,زانستە ئەندازیاریە کشتوکاڵییەکان,سلێمانی
,57.229,59.1,,54.6,59.1,بایۆ تەکنەلۆجی و بەروبومی کێڵگەیی,زانستە ئەندازیاریە کشتوکاڵییەکان,سلێمانی
,58.1,63.3,,55.401,58.509,باخداری,زانستە ئەندازیاریە کشتوکاڵییەکان,سلێمانی
,62.9,65.607,,61.7,65.607,زانستی ژینگە,زانستە سروشتیەکان/چوارتا,سلێمانی
55,55,60,55,55,60,خوێندنی ئیسالمی,زانستە ئیسالمیەکان,سلێمانی
55,55,60,55,55,60,شەریعە,زانستە ئیسالمیەکان,سلێمانی
55,55,60,55,55,60,بنەماکانی ئایین,زانستە ئیسالمیەکان,سلێمانی
55,55,60,55,55,60,پەروەردەی ئاینی,زانستە ئیسالمیەکان,سلێمانی
,55,60,,55,60,فلیمسازی,هونەرە جوانەکان,سلێمانی
,55,60,,55,60,شێوەکاری,هونەرە جوانەکان,سلێمانی
,55,60,,55,60,میوزیک,هونەرە جوانەکان,سلێمانی
,73.526,80.7,,64.9,70.7,زانستە رامیاریەکان,زانستە رامیاریەکان,سلێمانی
,75.2,81.8,,65.2,69.8,سیاسەت و پەیوەندی نێودەوڵەتی,زانستە رامیاریەکان,سلێمانی
58.7,63.932,70.3,53.776,62.7,66.2,مێژوو/سەیید صادق,پەروەردە و زانستە مرۆییەکان,سلێمانی
60.097,63.676,69.3,56.209,60.7,63.3,جوگرافیا/سەیید صادق,پەروەردە و زانستە مرۆییەکان,سلێمانی
55,55,60,55,55,60,پەروەردەی وەرزش,پەروەردەی جەستەیی و وەرزشیەکان,سلێمانی
,55,60,,55,60,پەروەردەی وەرزشی بنەرەتی,پەروەردەی جەستەیی و وەرزشیەکان,سلێمانی
63.4,71.2,77.6,57.5,63.7,70,مێژوو,زانستە مرۆڤایەتیەکان,سلێمانی
,70.6,75.6,,64.2,69.6,راگەیاندن,زانستە مرۆڤایەتیەکان,سلێمانی
,75.165,74.9,,64.6,67.5,جوگرافیا,زانستە مرۆڤایەتیەکان,سلێمانی
,66.2,72.6,,63.6,66.8,کۆمەكڵناسی,زانستە مرۆڤایەتیەکان,سلێمانی
,65.8,72.1,,62.176,66.6,پەیوەندیە گشتیەکان,زانستە مرۆڤایەتیەکان,سلێمانی
,64.4,68,,61.2,65.6,شوێنەوار,زانستە مرۆڤایەتیەکان,سلێمانی
,64.4,70.6,,63,64.8,کاری کۆمەڵایەتیەکان,زانستە مرۆڤایەتیەکان,سلێمانی
,61.6,64.2,,59.2,62.2,فەلسەفە و توێژینەوە و کلتووریەکان,زانستە مرۆڤایەتیەکان,سلێمانی
,81,87.3,,78.7,83.8,بایۆلۆجی,پەروەردە,سلێمانی
,78.1,83.889,,76.3,80.3,کیمیا,پەروەردە,سلێمانی
,74.3,80.6,,71.1,76.6,فیزیک,پەروەردە,سلێمانی
,74.1,80.5,,69.67,75.8,ماتماتیک,پەروەردە,سلێمانی
,97.143,97.667,,96.4,97.2,تەکنیکی بێهۆشکاری,تەکنیکی تەندروستی و پزیشکی,پۆلیتەکنیکی سلێمانی
,96.667,97.667,,96.333,96.857,شیکاری نەخۆشی,تەکنیکی تەندروستی و پزیشکی,پۆلیتەکنیکی سلێمانی
,95.306,96.4,,94.667,95.838,پەرستاری,تەکنیکی تەندروستی و پزیشکی,پۆلیتەکنیکی سلێمانی
,91.967,94.533,,90.246,92.233,ئەندازیاری گەیاندن,تەکنیکی ئەندازیاری,پۆلیتەکنیکی سلێمانی
,88.12,91.96,,85.2,88.153,نەوت و ووزە,تەکنیکی ئەندازیاری,پۆلیتەکنیکی سلێمانی
,85.833,89.4,,83.6,87.067,پالنسازی شار,تەکنیکی ئەندازیاری,پۆلیتەکنیکی سلێمانی
,86.733,92.16,,84.76,86.92,میکانیک,تەکنیکی ئەندازیاری,پۆلیتەکنیکی سلێمانی
,83.396,89.967,,79.32,81.4,توانای کارەبا,تەکنیکی ئەندازیاری,پۆلیتەکنیکی سلێمانی
,89.8,93.6,,86.2,90.4,تەکنەلۆجیای زانیاری,تەکنیکی ئینفۆرماتیک سلێمانی,پۆلیتەکنیکی سلێمانی
,82.167,87.167,,79.333,83.267,تەکنەلۆجیای داتابەیس,تەکنیکی ئینفۆرماتیک سلێمانی,پۆلیتەکنیکی سلێمانی
,80.167,88.9,,76.733,81,تۆڕەکانی کۆمپیوتەر,تەکنیکی ئینفۆرماتیک سلێمانی,پۆلیتەکنیکی سلێمانی
,89.767,96.571,,85.143,91.425,شیکاری نەخۆشی,تەکنیکی کەلار,پۆلیتەکنیکی سلێمانی
,87.143,90.286,,82.286,85.143,پەرستاری,تەکنیکی کەلار,پۆلیتەکنیکی سلێمانی
,71.429,82.571,,68,71.714,ڤێتێرنەری,تەکنیکی کەلار,پۆلیتەکنیکی سلێمانی
60.7,67.8,76.6,57.8,63.1,67.3,تەکنەلۆجیای زانیاری IT,تەکنیکی کەلار,پۆلیتەکنیکی سلێمانی
61.5,64.6,73.2,58.8,62.1,63.3,کارگێری کار,تەکنیکی کەلار,پۆلیتەکنیکی سلێمانی
,64.7,76.9,,59.7,62.2,رووپێوی,تەکنیکی کەلار,پۆلیتەکنیکی سلێمانی
,59.5,65.1,,57.6,58.115,کارەبا,تەکنیکی کەلار,پۆلیتەکنیکی سلێمانی
57.467,59.041,66.365,55.777,57.364,57.948,کارگێری پرۆژە کشتوکالیەکان,تەکنیکی کەلار,پۆلیتەکنیکی سلێمانی
,93.714,95.333,,92,94.333,زانستی تاقیگەی پزیشکی,تەکنیکی زانستە پراکتیکی/هەڵەبجە,پۆلیتەکنیکی سلێمانی
,57.623,60.581,,56,60.022,کارگێری پرۆژە کشتوکاڵیەکان,تەکنیکی زانستە پراکتیکی/هەڵەبجە,پۆلیتەکنیکی سلێمانی
,62.1,66.3,,57.7,58.206,زانستی خۆراک و کۆنتڕۆڵی جۆری,تەکنیکی زانستە پراکتیکی/هەڵەبجە,پۆلیتەکنیکی سلێمانی
,71.3,77.122,,66.9,72.4,تەکنیکی کارگێری کار,تەکنیکی کارگێری سلێمانی,پۆلیتەکنیکی سلێمانی
,66,74,,63.2,65.647,پەیوەندیە گشتیەکان و بازارگەری,تەکنیکی کارگێری سلێمانی,پۆلیتەکنیکی سلێمانی
,68.8,70.4,,62,64.41,تەکنیکی میدیا,تەکنیکی کارگێری سلێمانی,پۆلیتەکنیکی سلێمانی
,66.1,72.9,,62.6,64.3,تەکنیکی ژمێریاری,تەکنیکی کارگێری سلێمانی,پۆلیتەکنیکی سلێمانی
,91.97,95.143,,90.571,92.302,دەرمانسازی,پەیمانگای تەکنیکی سلێمانی,پۆلیتەکنیکی سلێمانی
,89.143,96,,86.857,89.429,سڕکردن,پەیمانگای تەکنیکی سلێمانی,پۆلیتەکنیکی سلێمانی
,87.429,92.857,80,85.429,88.947,شیکاری نەخۆشی,پەیمانگای تەکنیکی سلێمانی,پۆلیتەکنیکی سلێمانی
,88.286,95.429,81,86.286,88.571,پەرستاری,پەیمانگای تەکنیکی سلێمانی,پۆلیتەکنیکی سلێمانی
,84.571,94.571,,82.286,86,پەرستاری ددان,پەیمانگای تەکنیکی سلێمانی,پۆلیتەکنیکی سلێمانی
,84.571,90.857,,83.246,84.857,تیشک,پەیمانگای تەکنیکی سلێمانی,پۆلیتەکنیکی سلێمانی
,82.857,88.571,,81.143,83.93,پەرستاری منداڵان,پەیمانگای تەکنیکی سلێمانی,پۆلیتەکنیکی سلێمانی
,81.143,87.714,,80,82.857,پەرستاری/پێنجوێن,پەیمانگای تەکنیکی سلێمانی,پۆلیتەکنیکی سلێمانی
,79.833,85.486,,78.571,81.429,ژنان و منداڵ بوون,پەیمانگای تەکنیکی سلێمانی,پۆلیتەکنیکی سلێمانی
,80.286,84,76,79.143,80.857,تەندروستی کۆمەڵ,پەیمانگای تەکنیکی سلێمانی,پۆلیتەکنیکی سلێمانی
,74.3,81.8,,70.624,74.5,تەکنیکی تەلارسازی,پەیمانگای تەکنیکی سلێمانی,پۆلیتەکنیکی سلێمانی
,67.9,82.6,,64.1,69.4,رووپێوی,پەیمانگای تەکنیکی سلێمانی,پۆلیتەکنیکی سلێمانی
64.8,69,76.9,62.1,65.1,67.2,کارگێری کار,پەیمانگای تەکنیکی سلێمانی,پۆلیتەکنیکی سلێمانی
61.4,64.927,75.3,59.1,62.122,64.2,ژمێریاری,پەیمانگای تەکنیکی سلێمانی,پۆلیتەکنیکی سلێمانی
62.188,65.4,75,60.2,62.259,64,تەکنیکی میدیا,پەیمانگای تەکنیکی سلێمانی,پۆلیتەکنیکی سلێمانی
63.4,63.976,72.529,58.619,61,63.4,گەیاندن,پەیمانگای تەکنیکی سلێمانی,پۆلیتەکنیکی سلێمانی
,63.334,78.3,,59.4,63,میکانیک/کاد کام,پەیمانگای تەکنیکی سلێمانی,پۆلیتەکنیکی سلێمانی
,65,74.7,,60.5,62.3,کارگێری کار/پێنجوێن,پەیمانگای تەکنیکی سلێمانی,پۆلیتەکنیکی سلێمانی
68.5,75.3,92.2,65.1,72.3,75.991,IT,پەیمانگای تەکنیکی زانستی کۆمپیوتەر,پۆلیتەکنیکی سلێمانی
65.3,72.1,78,62.8,69.302,72.34,نێت وۆرک,پەیمانگای تەکنیکی زانستی کۆمپیوتەر,پۆلیتەکنیکی سلێمانی
64.5,69.9,76.9,62,67,71.2,سیستەمەکانی داتا بەیس,پەیمانگای تەکنیکی زانستی کۆمپیوتەر,پۆلیتەکنیکی سلێمانی
,83.429,88.857,,81.143,85.714,شیکاری نەخۆشی,پەیمانگای تەکنیکی هەڵەبجە,پۆلیتەکنیکی سلێمانی
,82,88.385,,80.857,85.429,پەرستاری,پەیمانگای تەکنیکی هەڵەبجە,پۆلیتەکنیکی سلێمانی
62.849,68.202,80.7,58.9,64.7,68.9,تەکنەلۆجیای زانیاری IT,پەیمانگای تەکنیکی هەڵەبجە,پۆلیتەکنیکی سلێمانی
60.082,62.1,72.9,58.1,60.6,63.1,کارگێری کار,پەیمانگای تەکنیکی هەڵەبجە,پۆلیتەکنیکی سلێمانی
57.8,60.2,68.7,56.1,58,59.924,ژمێریاری,پەیمانگای تەکنیکی هەڵەبجە,پۆلیتەکنیکی سلێمانی
,84.571,92.286,,82.286,85.714,پەرستاری,پەیمانگای تەکنیکی چەمچەماڵ,پۆلیتەکنیکی سلێمانی
61.65,66.7,78,57.977,63.309,67.6,تەکنەلۆجیای زانیاری IT,پەیمانگای تەکنیکی چەمچەماڵ,پۆلیتەکنیکی سلێمانی
63.923,63.4,75.7,58,60.5,63.43,کارگێری کار,پەیمانگای تەکنیکی چەمچەماڵ,پۆلیتەکنیکی سلێمانی
57.8,60.6,72.1,56.5,58.1,61.4,ژمێریاری,پەیمانگای تەکنیکی چەمچەماڵ,پۆلیتەکنیکی سلێمانی
,67.733,68.2,,57.4,58.8,تەئسیساتی کارەبا,پەیمانگای تەکنیکی چەمچەماڵ,پۆلیتەکنیکی سلێمانی
,82,90.571,,80.286,84.286,پەرستاری,پەیمانگای تەکنیکی دەربەندیخان,پۆلیتەکنیکی سلێمانی
61.296,64.8,74.9,58,62.525,65.1,زانستی کۆمپیوتەر,پەیمانگای تەکنیکی دەربەندیخان,پۆلیتەکنیکی سلێمانی
61.355,61.8,81.8,57.8,59.8,62.6,کارگێری کار,پەیمانگای تەکنیکی دەربەندیخان,پۆلیتەکنیکی سلێمانی
,59.818,73.9,,58.715,61,رووپێوی,پەیمانگای تەکنیکی دەربەندیخان,پۆلیتەکنیکی سلێمانی
,60.4,65.1,,57.368,59.4,کارەبا,پەیمانگای تەکنیکی دەربەندیخان,پۆلیتەکنیکی سلێمانی
56.787,59.446,65.4,55.8,57.4,58.9,ژمێریاری,پەیمانگای تەکنیکی دەربەندیخان,پۆلیتەکنیکی سلێمانی
62.1,68.2,76.2,59.672,63.5,69,تەکنەلۆجیای زانیاری IT,پەیمانگای تەکنیکی دووکان,پۆلیتەکنیکی سلێمانی
60.658,63.8,73.2,58.8,61.9,65,کارگێری کار,پەیمانگای تەکنیکی دووکان,پۆلیتەکنیکی سلێمانی
60.3,62.721,74.2,58.5,61.3,64.2,کارگێری بانکەکان,پەیمانگای تەکنیکی دووکان,پۆلیتەکنیکی سلێمانی
59.418,61.4,68.4,58.2,60,62.4,پەیوەندیە گشتییەکان و بازارگەری,پەیمانگای تەکنیکی دووکان,پۆلیتەکنیکی سلێمانی
58.237,60.6,67.9,57.2,59,61.5,ژمێریاری,پەیمانگای تەکنیکی دووکان,پۆلیتەکنیکی سلێمانی
,60.394,67.5,,58.416,59.6,کارگێری ئەلیکترۆنی,پەیمانگای تەکنیکی بەکرەجۆ,پۆلیتەکنیکی سلێمانی
,58.6,65,,57.409,59.583,کشتوکالیە داپۆشراوەکان,پەیمانگای تەکنیکی بەکرەجۆ,پۆلیتەکنیکی سلێمانی
,60.5,66.5,,58.7,59.098,باخداری و دیزاینی دیمەنی سروشتی,پەیمانگای تەکنیکی بەکرەجۆ,پۆلیتەکنیکی سلێمانی
,61,73,,58.6,59,زانستی خۆراک و کۆنتڕۆڵی جۆری,پەیمانگای تەکنیکی بەکرەجۆ,پۆلیتەکنیکی سلێمانی
,98.571,99,,98.4,98.8,پزیشکی,پزیشکی,گەرمیان
,89.96,94.812,,86.267,90.6,ئەندازیاری شارستانی,ئەندازیاری,گەرمیان
,85.26,90.8,,84.05,88.6,کیمیا,زانست,گەرمیان
,80.133,84.933,,73.171,79.1,زانستی کۆمپیوتەر,زانست,گەرمیان
,68.2,77.6,,61.9,68.3,خانەقینIT/,کۆمپیوتەر و تەکنەلۆجیای زانیاری,گەرمیان
,63.5,69.9,,58.7,63.082,خانەقینNetwork/,کۆمپیوتەر و تەکنەلۆجیای زانیاری,گەرمیان
,84.7,90,,81.3,85,یاسا,یاسا,گەرمیان
,72.1,77.7,,67.5,70.6,زمانی ئینگلیزی,زمان و زانستە مرۆڤایەتیەکان/خانقین,گەرمیان
,63.332,66.7,,59.114,64.5,جوگرافیا,زمان و زانستە مرۆڤایەتیەکان/خانقین,گەرمیان
,62.24,65.8,,58.458,63.2,دەروونناسی,زمان و زانستە مرۆڤایەتیەکان/خانقین,گەرمیان
,67.241,69.5,,62.814,62.4,زمانی عەرەبی,زمان و زانستە مرۆڤایەتیەکان/خانقین,گەرمیان
,64.405,67.6,,58.224,62.1,زمانی کوردی,زمان و زانستە مرۆڤایەتیەکان/خانقین,گەرمیان
75.565,82.1,86.6,70.3,77.8,79.5,زمانی ئینگلیزی,پەروەردە,گەرمیان
,76.5,82.498,,73.1,78.9,بایۆلۆجی,پەروەردە,گەرمیان
,74.206,79.9,,71.548,77.5,کیمیا,پەروەردە,گەرمیان
,72.7,76.4,,66.2,72.4,فیزیک,پەروەردە,گەرمیان
,75,78.311,,66.1,72.1,زمانی عەرەبی,پەروەردە,گەرمیان
,69.5,75.3,,63.9,70,ماتماتیک,پەروەردە,گەرمیان
,68.1,74,,62.1,68.4,زمانی کوردی,پەروەردە,گەرمیان
62,67.4,74.4,58.2,63,66.6,دەروونناسی,پەروەردە,گەرمیان
,62.9,74,,62.9,66.447,مێژوو,پەروەردە,گەرمیان
,65.7,71.6,,59.895,64.7,جوگرافیا,پەروەردە,گەرمیان
,67.2,71.8,,63.4,68.3,زمانی عەرەبی,پەروەردەی بنەرەتی,گەرمیان
62.714,65.8,73.4,60,63.4,66.986,باخچەی منداڵان,پەروەردەی بنەرەتی,گەرمیان
60.8,67.952,72.6,59.3,60,66.3,زمانی کوردی,پەروەردەی بنەرەتی,گەرمیان
60.2,62.6,69.2,57.3,59.7,64.888,زانستی کۆمەڵایەتیەکان,پەروەردەی بنەرەتی,گەرمیان
,55,60,,55,60,پەروەردەی وەرزش/کەلار,پەروەردەی بنەرەتی,گەرمیان
55,55,60,55,55,60,زانستە وەرزشیەکان/ خانەقین,جەستەیی و زانستە مرۆڤاییەتیەکان,گەرمیان
,58.937,59.4,,55.897,58.829,سامانی ئاژەڵ/ کفری,زانستە ئەندازیاریە کشتوکاڵییەکان,گەرمیان
,95,96.667,,93,95.667,پەرستاری,پەرستاری,ڕاپەرین
,89.68,93.44,,87.133,90.4,ئەندازیاری شارستانی,سەرۆکایەتی زانکۆی ڕاپەرین,ڕاپەرین
,92.857,95.714,,91.333,95.333,زانستی تاقیگەی پزیشکی,زانست,ڕاپەرین
,89.767,94.067,,88.5,92.667,بایۆلۆجی,زانست,ڕاپەرین
,88.033,91.54,,85.1,89.62,کیمیا,زانست,ڕاپەرین
,72.4,78.4,,71.1,72.616,فیزیای گشتی و کرداری,زانست,ڕاپەرین
72.051,78.1,82.1,67.7,75,79,زمانی ئینگلیزی,پەروەردەی بنەرەت,ڕاپەرین
,72.4,78.4,,66.698,72.6,باخچەی ساوایان,پەروەردەی بنەرەت,ڕاپەرین
,70.3,78,,66.8,72.2,زانستی کۆمپیوتەر,پەروەردەی بنەرەت,ڕاپەرین
63.2,68.1,75.2,57,64.6,70.4,زمانی کوردی,پەروەردەی بنەرەت,ڕاپەرین
,70.2,75.8,,62.807,69,ماتماتیک,پەروەردەی بنەرەت,ڕاپەرین
61.2,67.5,73.8,59.1,62.2,68.6,زمانی عەرەبی بۆ قسەکەرانی بیانی,پەروەردەی بنەرەت,ڕاپەرین
72.5,80.1,84.5,66.9,76.2,80.4,زمانی ئینگلیزی,پەروەردە / قەالدزێ,ڕاپەرین
62.85,71,77.8,57.9,65.5,71.2,زمانی عەرەبی,پەروەردە / قەالدزێ,ڕاپەرین
64.45,67.8,73.2,58.7,63.656,69.1,زمانی کوردی,پەروەردە / قەالدزێ,ڕاپەرین
,67.2,72.6,,61.2,67.4,پەروەردە و دەرون زانی,پەروەردە / قەالدزێ,ڕاپەرین
,61.4,67.9,,58.2,61.2,سامانی ئاژەڵ,زانستە ئەندازیاریە کشتوکاڵییەکان,ڕاپەرین
,60.4,66.7,,57.251,58.94,باخداری,زانستە ئەندازیاریە کشتوکاڵییەکان,ڕاپەرین
,84.8,90,,82.5,85.6,یاسا,زانستە مرۆڤایەتیەکان,ڕاپەرین
,75.2,81.6,,73.4,76.6,Dept.of Business managrmrnt,زانستە مرۆڤایەتیەکان,ڕاپەرین
62.627,70.1,74.4,58.6,65.214,69.3,مێژوو,زانستە مرۆڤایەتیەکان,ڕاپەرین
63.9,67.9,73.3,59.6,65.2,68.9,جوگرافیا,زانستە مرۆڤایەتیەکان,ڕاپەرین
,,,,,,چەرمۆ,,
,92.333,95.429,,91,94.333,زانستی تاقیگەی پزیشکی,زانستە کرداری و تەندروستیەکان,چەرمۆ
,89.767,93.333,,88.4,92.5,کیمیای دەرمانسازی,زانستە کرداری و تەندروستیەکان,چەرمۆ
,80.2,88.6,,73.7,79.909,فیزیای پزیشکی,زانستە کرداری و تەندروستیەکان,چەرمۆ
,80.667,87.6,,72.36,75.3,کیمیای کرداری,زانستە کرداری و تەندروستیەکان,چەرمۆ
,75.1,81.1,,66.46,69.236,کۆمپیوتەری کرداری,زانستە کرداری و تەندروستیەکان,چەرمۆ
,78.5,83.1,,74.1,78.7,زمانی ئینگلیزی,زمان,چەرمۆ
60,60.1,64.1,60,60.1,65.2,لێکۆڵینەوەی کوردی,زمان,چەرمۆ
67.2,70.8,70.4,67.2,58.2,63,زمانی عەرەبی بۆ قسەکەرانی بیانی,زمان,چەرمۆ
64.2,68.4,77.3,57.7,62,68.2,کارگێری گشتی,کارگێری گشتی بەرێوەبردنی سروشتی,چەرمۆ
,60.2,69.6,,60,63.7,ژمێریاری,کارگێری گشتی بەرێوەبردنی سروشتی,چەرمۆ
,66.9,70.6,,58.8,62.1,کارگێری گاز و نەوت و ووزە,کارگێری گشتی بەرێوەبردنی سروشتی,چەرمۆ
,91.8,95.498,,88.367,92.967,ئەندازیاری شارستانی,سەرۆکایەتی زانکۆی هەڵەبجە,هەڵەبجە
,80.433,86.367,,74.4,80.7,کۆمپیوتەر,زانست,هەڵەبجە
,68.8,74.2,,60.053,63,فیزیک,زانست,هەڵەبجە
,85.6,90.5,,83.1,86.2,یاسا,یاسا و کارگێری,هەڵەبجە
69,72.1,76.361,58.055,62.5,65.7,بازرگانی نێودەولەتی,یاسا و کارگێری,هەڵەبجە
,72.4,75.8,,59.9,64.4,سیاسەت و پەیوەندی نێودەولەتی,یاسا و کارگێری,هەڵەبجە
72.2,77.8,82.1,67.738,75.06,79.3,زمانی ئینگلیزی,پەروەردەی بنەرەت,هەڵەبجە
,67.4,76.7,,65.3,71.1,زمانی عەرەبی,پەروەردەی بنەرەت,هەڵەبجە
60,65.8,71.9,57.2,59.141,64.6,زانستە کۆمەڵایەتیەکان,پەروەردەی بنەرەت,هەڵەبجە
,64,68.9,,61.1,65.4,جوگرافیا,زانستە مرۆڤایەتیەکان,هەڵەبجە
,62.8,69.1,,60.2,64.6,مێژوو,زانستە مرۆڤایەتیەکان,هەڵەبجە
,62.6,70.8,,57.4,62,راگەیاندن,زانستە مرۆڤایەتیەکان,هەڵەبجە
,55,60,,55,60,بنەماکانی ئایین,زانستە مرۆڤایەتیەکان,هەڵەبجە
,55,60,,55,60,پەروەردەی وەرزش,پەروەردەی جەستەی و وەرزشیەکان,هەڵەبجە
63,68.009,71.8,57.301,63.4,66.2,شارەزوور/زمانی کوردی,پەروەردەی شارەزوور,هەڵەبجە
60.847,68.917,70.6,57.4,62,65.4,باخچەی منداڵان,پەروەردەی شارەزوور,هەڵەبجە
57.43,61.8,63.2,56.488,59.4,63.8,گەشەپێدانی مرۆیی,پەروەردەی شارەزوور,هەڵەبجە
,98.4,99.143,,97,98.012,پزیشکی,NULL,دهۆک
,97.855,98.286,,96.333,96.8,پزیشکی ددان,NULL,دهۆک
,97.6,98,,95.75,96.299,دەرمانسازی,NULL,دهۆک
,94.333,96,,92.4,95.143,پەرستاری,NULL,دهۆک
,88,92.04,,77.333,82.924,پزیشکی ڤێتێرنەری,NULL,دهۆک
,95.429,96.079,,93.714,95,زانستی البوری پزیشکی,زانستە تەندروستی,دهۆک
,96,96.667,,94.051,94.667,زانستی سرکردن,زانستە تەندروستی,دهۆک
,95.92,96.639,,95.1,95.533,تەلارسازی,ئەندازیاری,دهۆک
,93.72,95.1,,91.633,93.48,شارستانی,ئەندازیاری,دهۆک
,91.8,93.6,,87.933,91.36,کارەبا و کۆمپیوتەر,ئەندازیاری,دهۆک
,86.7,93.667,,83.2,88.2,میکانیک,ئەندازیاری,دهۆک
,,91,,,78.841,بایۆمیدیکەل / دوو بڕوانامە,ئەندازیاری,دهۆک
,87.833,92.567,,84.88,89.133,زیندەوەرزانی,زانست,دهۆک
,84.1,88.733,,82.033,87,کیما,زانست,دهۆک
,81.333,85.9,,77.3,82.167,زانستی کۆمپیوتەر,زانست,دهۆک
,78.009,84.1,,74.4,80.3,فیزیک,زانست,دهۆک
,73.8,79.8,,71.3,76.395,ماتماتیک,زانست,دهۆک
,72.6,78.75,,69.102,73,زەوی ناسی,زانست,دهۆک
,87.216,91.9,,82.8,87.4,یاسا,یاسا,دهۆک
,84.1,89.9,,78.1,84.4,زمانی ئینگلیزی,زمان,دهۆک
,80.2,85.698,,77.2,83,وەرگێران,زمان,دهۆک
,68.4,74.816,,65.057,69.994,زمانی کوردی,زمان,دهۆک
,74,79.8,,68.9,75.3,ئابوری,کارگێری و ئابوری,دهۆک
,71.8,77.116,,67,72.2,کارگێری کار,کارگێری و ئابوری,دهۆک
,67.8,75.6,,64,68.4,ژمێریاری,کارگێری و ئابوری,دهۆک
,64.8,69,,62.4,67,کارگێری گوزار و ئوتیلگری,کارگێری و ئابوری,دهۆک
,63.667,68.395,,62,65.8,زانستی دارایی و بانکی,کارگێری و ئابوری,دهۆک
,61.938,66.5,,60.7,64.117,ئامار,کارگێری و ئابوری,دهۆک
,76.541,82,,73.7,79,زمانی ئینگلیزی,پەروەردەی بنەرەتی,دهۆک
,73.227,79.1,,68.1,74.5,زمانی عەرەبی,پەروەردەی بنەرەتی,دهۆک
,72.6,78.2,,68.2,74,جوگرافیا,پەروەردەی بنەرەتی,دهۆک
,72.6,78,,68.2,73.9,مێژوو,پەروەردەی بنەرەتی,دهۆک
,68.3,77.2,,66.92,73.32,زانستەکان,پەروەردەی بنەرەتی,دهۆک
,71.76,73.5,,64.8,70.6,زمانی کوردی,پەروەردەی بنەرەتی,دهۆک
,68,73.6,,65.5,70.114,ماتماتیک,پەروەردەی بنەرەتی,دهۆک
,64.729,69.6,,62.8,67.6,رابەریا پەروەردەیی,پەروەردەی بنەرەتی,دهۆک
,64.357,70.8,,62.6,67.6,پەروەردەی تایبەت,پەروەردەی بنەرەتی,دهۆک
,73.5,78.6,,68.8,75.1,زمانی ئینگلیزی,پەروەردەی بنەرەتی/ئامێدی,دهۆک
,66.6,72.3,,64.72,70.7,کۆمەڵایەتیەکان,پەروەردەی بنەرەتی/ئامێدی,دهۆک
,64.4,66.958,,60.578,63.922,بەربوومی کێڵگەیی,زانستە ئەندازیاریە کشتوکاڵییەکان,دهۆک
,60.741,67,,58.43,63.433,بەرهەمی گیانەوەری,زانستە ئەندازیاریە کشتوکاڵییەکان,دهۆک
,60.264,66.1,,58.734,62.8,خاک و ئاو,زانستە ئەندازیاریە کشتوکاڵییەکان,دهۆک
,61.2,65.1,,58.7,62.634,بیستانکاری,زانستە ئەندازیاریە کشتوکاڵییەکان,دهۆک
,62.1,65,,57.7,62.4,پاراستنی رووەک,زانستە ئەندازیاریە کشتوکاڵییەکان,دهۆک
,58.6,63.214,,57.7,61.496,دارستان,زانستە ئەندازیاریە کشتوکاڵییەکان,دهۆک
,58.157,62.3,,57.643,61.2,شیرەتکاریا چاندنی و جڤاکی گوندایەتی,زانستە ئەندازیاریە کشتوکاڵییەکان,دهۆک
,57.894,62.942,,57.697,60.869,گەشتیاری توریزمی ژینگەیی,زانستە ئەندازیاریە کشتوکاڵییەکان,دهۆک
,78.8,82.7,,73.7,79.9,نێودەوڵەتیەکان و دیبلۆماسی,زانستی سیاسی,دهۆک
,74.746,82.509,,71.095,77.4,سیستەمی سیاسی و سیاسەتا گشتی,زانستی سیاسی,دهۆک
,73.3,79,,68.4,74.5,جوگرافیا,زانستی مرۆڤایەتی,دهۆک
,71.6,77.9,,68.5,73.9,مێژوو,زانستی مرۆڤایەتی,دهۆک
,71.91,78.309,,67,73.2,دەرونناسی,زانستی مرۆڤایەتی,دهۆک
,68.5,72.1,,65.4,70.7,شوێنەوار,زانستی مرۆڤایەتی,دهۆک
,65.3,70.225,,64.6,68.836,خوێندنی ئاشتی و مافی مرۆڤ,زانستی مرۆڤایەتی,دهۆک
,66.8,71.04,,63.631,67.5,کۆمەڵناسی,زانستی مرۆڤایەتی,دهۆک
,55,60,,60,60,پەروەردەی ئایینی ,زانستی مرۆڤایەتی,دهۆک
,55,60,,60,60,دراما,زانستی مرۆڤایەتی,دهۆک
,55,60,,60,60,شێوەکاری,زانستی مرۆڤایەتی,دهۆک
,,74.2,,70.74,70.74,پلان دانانا جهی ٥ – ساڵ - دوو بڕوانامە,پلان دانانا جهی,دهۆک
,80,85.5,,79.6,79.6,زمانی ئینگلیزی ,پەروەردە - ئاکرێ,دهۆک
,73,80.4,,76.7,76.7,زیندەوەرزانی ,پەروەردە - ئاکرێ,دهۆک
